"*根據2024 QS世界大學排名，本校排名為219。Based on 2024 QS World University Ranking, NYCU is ranked 217th.",,,,,Last Update,2024/12/4,,,,,,,,,,,,,,,,,,,
"***系所年級/語言能力/在校成績限制依照姐妹校規定表述，但姐妹校可能隨時調整規定，請依照姐妹校官網為準。系所以主修或雙主修為準，年級以出國交換時之年級為準。All requirements are set by partner institutions; however, institutions can update their requirements from time to time. Please refer to their website for most updated information. Double major can be used to fuifill the home department requirements. The year of study requirment refers to the year of study during exchange.",,,,,,,,,,,,,,,,,,,,,,,,,
紫色字體校名者為「拓荒者計畫」學校，率取且符合本校出國交換獎學金標準之學生，可優先獲得較高額補助。Instiition names in purple are part of the Trailblazer program that students accepted and fulfilled NYCU's requirements of the outbound exchange student scholarships will be granted higher amount of scholarships.,,,,,,,,,,,,,,,,,,,,,,,,,

"國家
Country","學校
Institution","排名*
Ranking","名額**
Quota","系所年級限制***
Eligibility","語言能力限制***
Language Requirement","成績限制***
Grade Requirement","備註
Remarks",,,,,,,,,,,,,,,,,,
,,,,,,,"以下領域較多英語授課課程
The following departments offer more English-taught courses: Business Administration, International Trade, English Language and Literature, Economics, Political Science",,,,,,,,,,,,,,,,,,
"Korea
韓國","Chonnam National University
全南國立大學",851-900,5 students,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Korea
韓國","Pohang University of Science and Technology
浦項工科大學",98,4 sem. slots,"理工領域大學部及研究所學生
UG & PG students in STEM (science, technology, engineering and math)",iBT79/IELTS6,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Korea
韓國","Ewha Womans University
梨花女子大學",511,2 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,6 sem. slots,"科法所學生
Students of the School of Law",,,,,,,,,,,,,,,,,,,,,
"Korea
韓國","大邱慶北科學技術院
Daegu Gyeongbuk Institute of Science and Technology (DGIST)",326,4 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students","recommand CEFR B2
(IELTS6 / iBT80)",,參考網頁 Link (need to install an exe. before viewing),,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,A to A Guide,,,,,,,,,,,,,,,,,,
"Korea
韓國","Yonsei University
延世大學",56,4 sem. slots,"傳科系大學部及研究所學生
UG & PG students in Dept. of Commmunication & Technology",iBT79/IELTS6.5/TOPIK 4,GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,1 sem. slot,"管理院學院研究所學生
PG students fof the College of Management",,,"參考網頁 Link
Exchange to the Graduate School of Business - MBA",,,,,,,,,,,,,,,,,,
"Malaysia
馬來西亞","Universiti Kebangsaan Malaysia (UKM)
馬來西亞國立大學",138,2/sem.,"全校大學部學生
U-wide UG students",iBT79/IELTS6,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Factsheet,,,,,,,,,,,,,,,,,,
"Malaysia
馬來西亞","University of Malaya
馬來亞大學",60,1 student,"全校大學部及研究所學生
U-wide UG & PG students",Business & Econimcs / Law: iBT 80/IELTS 6/TOEIC 693,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Info Package,,,,,,,,,,,,,,,,,,
"Malaysia
馬來西亞","Universiti Teknologi Malaysia (UTM)
馬來西亞理工大學",181,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Malaysia
馬來西亞","Universiti Tunku Abdul Rahman (UTAR)
拉曼大學",801-850,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Information Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Off-campus Accommodation,,,,,,,,,,,,,,,,,,
,,,,,,,poster,,,,,,,,,,,,,,,,,,
"Singapore
新加坡","Singapore University of Technology and Design (SUTD)
新加坡科技與設計大學",440,"Fall: 2/sem.
Spring: 2/sem.
Summer: 2/sem.","全校大學部及碩士班學生
U-wide UG & Master students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Inbound Exchange Guide,,,,,,,,,,,,,,,,,,
,,,,,,,須提供額外專業文件,,,,,,,,,,,,,,,,,,
,,,,,,,"碩士班學生可以申請，但碩士班課程數很少 Master students can be accepted, but the number of master subjects/courses is limited.
建築與可持續發展課程不接受交換生選修 ASD courses are currently not offered to exchange students.",,,,,,,,,,,,,,,,,,
"Singapore
新加坡","National University of Singapore
新加坡國立大學",8,6/sem.(excl. Business) ,"全校大學部二年級以上學生
U-wide UG yr.2 above students",,GPA3.0/4.0 no C,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,可修課程列表 List of Modules for UG students,,,,,,,,,,,,,,,,,,
,,,,,,,Module restrictions,,,,,,,,,,,,,,,,,,
,,,,,,,"不接受研究生交換 PG students cannot apply (科法院學生除外，但僅可修NUS大學部課程 Except for students in the School of Law, but can only take UG modules)
不得修讀商學院課程 Students cannot take Business modules",,,,,,,,,,,,,,,,,,
,,,"5/sem.
(傳科: 保障1 students)","人社院、客家院大學部及研究所學生
UG & PG students of the College of Humanities & Social Sciences and the College of Hakka Studies",Students will need to be comfortable in learning and communicating in English.,GPA3.0/4.0 no C,應屆畢業交換生可選修之課程較少，可能需要修較低階之大學部課程 Courses for final year students are less; might need to take lower level undergraduate courses. 交換至該校文學院 Exchange to the Faculty of Arts & Social Sciences. 交換生不得選修自費program中之課程: https://www.fas.nus.edu.sg/coursework/fees.html 經濟系及地理系不收研究生 The Department of Economics and the Department of Geography does not accept PG students.,,,,,,,,,,,,,,,,,,
,,,1/sem.,"科法所研究所學生
PG students of the School of Law",For law: iBT100/IELTS6.5,GPA3.0/4.0 no C,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,可修課程列表 List of Modules for UG students,,,,,,,,,,,,,,,,,,
,,,,,,,Module restrictions,,,,,,,,,,,,,,,,,,
,,,,,,,"不接受研究生交換 PG students cannot apply (科法院學生除外，但僅可修NUS大學部課程 Except for students in the School of Law, but can only take UG modules)
不得修讀商學院課程 Students cannot take Business modules",,,,,,,,,,,,,,,,,,
"Singapore
新加坡","Singapore Management University
新加坡管理大學",585,1/sem.,"科法所學生
PG students of the Institute of Technology Law",iBT93 R22 W22/IELTS7.0 R7.0 W6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Course Catalog,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,More info,,,,,,,,,,,,,,,,,,
,,,,,,,"赴該校法學院交換
Exchange to the School of Law",,,,,,,,,,,,,,,,,,
"Singapore
新加坡","Nanyang Technological University
南洋理工大學",15,6/sem.,"全校大學部及碩士班學生
U-wide UG & Master students","iBT90/IELTS6/
GEPT-中高級
2nd stage",GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,


,,,3/sem.,電機院  College of ECE,,,Information Sheet,,,,,,,,,,,,,,,,,,
,,,2 sem. slots,資訊院學生交換去College of Computing & Data Science (CCDS),,,Brochure,,,,,,,,,,,,,,,,,,
"Thailand
泰國","King Mongkut's University of Technology Thonburi (KMUTT)
國王科技大學",951-1000,5 students,"生科院、理學院大學部二年級以上及研究所學生
UG yr. 2 above and PG students of the College of Biotech. & College of Science",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"赴該校理學院或生物資源與科技院交換
Exchange to the Faculty of Science or the School of Bioresources and Technolog",,,,,,,,,,,,,,,,,,
"Thailand
泰國","Kasetsart University
泰國農業大學",781-790,20 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",iBT61/IELTS5.5 ,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Thailand
泰國","Chiang Mai University
清邁大學",567,10 sem. slots,"國際半導體產業學院研究所學生
PG students of the International College of Semiconductor Technology",,,交換至該校 Exchange to:Faculty of Engineering,,,,,,,,,,,,,,,,,,
"Thailand
泰國","Thammasat University
法政大學",596,5 students,"管理學院大學部及研究所學生
UG & PG students of the College of Management""",iBT79/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,

,,,4 sem. slots,"全校大學部二年級以上學生
U-wide UG yr.2 above students",various among facuties/schools,GPA3.0/43,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Factsheet,,,,,,,,,,,,,,,,,,
,,,,,,,"需額外申請文件
Extra application document is required",,,,,,,,,,,,,,,,,,
"Thailand
泰國","Chulalongkorn University
朱拉隆功大學",229,2/sem.,"生科院大學部三年級以上及研究所學生
UG yr. 3 above and PG students of the College of Biotech.",iBT79/IELTS6,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Program List,,,,,,,,,,,,,,,,,,
"Vietnam
越南","Ton Duc Thang University
孫德勝大學",711-720,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",iBT72/IELTS5.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Indonesia
印尼","Institut TeknoloiSepuluh Nopember (ITS)
泗水理工大學",n/a,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,,,,,,,,,,,,,,,,,,,
"Indonesia
印尼","Universitas Indonesia
印尼大學",206,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",iBT80/IELTS6.5,GPA3.225/4.3,"參考網頁 Link
Fact Sheet",,,,,,,,,,,,,,,,,,
"Indonesia
印尼","Institut Teknologi Bandung (ITB)
萬隆理工學院",256,4 sem. slots,"管理學院大學部及研究所學生
UG & PG students of the College of Management",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"India
印度","Indian Institute of Technology Madras (IITM)
印度理工學院 馬德拉斯分校",227,5 students  ,"全校大學部及研究所學生
U-wide UG & PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Student Guide,,,,,,,,,,,,,,,,,,
"India
印度","Indian Institute of Technology Bombay(IITB)
印度理工學院 孟買分校",118,4 students,"全校大學部及研究所學生
U-wide UG & PG students","iBT95 (writing at least 20)/
IELTS6.5 (no sub-band lower than 6)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
"India
印度","Indian Institute of Technology Hyderabad (IITH)
印度理工學院海得拉巴校區",681-690,3 students,"國半院研究所學生
PG students of ICST",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"India
印度","O.P. Jindal Global University (JGU)
金德爾全球大學",1001-1200,4 students,"科法院學生
Students of the School of Law",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Turkey
土耳其","Bilkent Univesity
畢爾肯大學",477,8 sem. slots,"資訊學院大學部以及研究所學生
UG & PG students of College of Computer Science","iBT79/IELTS6.5/
GEPT中高級複試/
TOEIC785+SW240",,參考網頁 Link,,,,,,,,,,,,,,,,,,

,,,,,,,Factsheet,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to Faculty of Engineering with most courses taught in English; Dormitory for free,,,,,,,,,,,,,,,,,,
"Turkey
土耳其","Sabanci University
薩班哲大學",516,8 students,"全校大學部及研究所學生
U-wide UG & PG students",建議Recommend: iBT80,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Factsheet,,,,,,,,,,,,,,,,,,
,,,,,,,Brochure,,,,,,,,,,,,,,,,,,
,,,,,,,Course Offerings,,,,,,,,,,,,,,,,,,
"Turkey
土耳其","Koç University
柯克大學",401,6 sem. slots,"全校大學部及碩士班學生
U-wide UG & Master students",iBT80/IELTS6.5,"UG: GPA2.2/4.0
PG: GPA2.5/4.0",參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Some Law School courses are in Turkish (such as Turkish Constitutional Law),,,,,,,,,,,,,,,,,,
"Hong Kong
香港","Hong Kong Baptist University
香港浸會大學",252,2/sem.,"全校大學部二年級以上學生
U-wide UG yr.2 above students",iBT79/IELTS6,GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Leaflet,,,,,,,,,,,,,,,,,,
,,,,,,,"研究生不得申請；畢業前最後一學期不可交換
PG students cannot apply; cannot exchange in last sem. of UG",,,,,,,,,,,,,,,,,,
"Hong Kong
香港","City University of Hong Kong
香港城市大學",62,3 sem. slots,"全校大學部二年級以上學生
U-wide UG yr.2 above students",iBT79/IELTS6.5/學測英文15級分,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,課程列表 Course List,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Pamphlet,,,,,,,,,,,,,,,,,,
,,,,,,,Video,,,,,,,,,,,,,,,,,,
,,,,,,,"研究生不得申請 PG students cannot apply
不保證校內宿舍 On-campus housing is not guaranteed",,,,,,,,,,,,,,,,,,
,,,2 sem. slots,"傳科系大學部學生
UG students of the Department of Communication & Technology",,,"交換至該校傳播系
Exchange to the Department of Media & Communications",,,,,,,,,,,,,,,,,,
"Hong Kong
香港","The University of Hong Kong
香港大學",17,4 sem. slots,"人社、客家院學生
Students of the College of Humanities & Social Sciences and College of Hakka Studies",iBT93/IELTS6.5,GPA3.0/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"研究生可申請，但僅可修讀該校大學部課程；交換至該校文學院
PG students can apply, but can only take UG-level courses; Exchange to the Faculty of Arts",,,,,,,,,,,,,,,,,,
,,,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",,,,,,,,,,,,,,,,,,,,,
"Hong Kong
香港","The Hong Kong Polytechnic University
香港理工大學",57,"Fall: 2 students
Spring: 3 students","管院大學部學生
UG students of the College of Management",iBT80/IELTS6,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Information Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"研究生不得申請 PG students cannot apply
交換至該校商學院 Exchange to Faculty of Business",,,,,,,,,,,,,,,,,,
"Hong Kong
香港","The Hong Kong University of Science and Technology
香港科技大學",47,6 sem. slots,"理學院及生科院大學部學生
UG students of the College of Science and College of Biological Science and Technology",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Academic Calendar,,,,,,,,,,,,,,,,,,
,,,,,,,Info Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"研究生不得申請
PG students cannot apply
交換至該校 School of Science 系所
Exchange to School of Science",,,,,,,,,,,,,,,,,,
"Hong Kong
香港","The Chinese University of Hong Kong
香港中文大學",36,2 sem. slots,"社文所及亞際學程學生
Students of the Graduate Institute for Social Research and Cultural Studies and Inter-Asia Cultural Studies",iBT80/IELTS6,GPA3.23/4.30,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"交換至該校 Exchange to the Department of Cultural and Religious Studies, Faculty of Arts
大學部學生欲申請赴此校交換者，請參考台聯大交換計畫 UG students interested in going to CUHK, please see UST exchange program",,,,,,,,,,,,,,,,,,
"Brunei
汶萊","Universiti Brunei Darussalam (UBD)
汶萊大學",385,4 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above & PG students",iBT79/IELTS6,GPA2.5/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Austria
奧地利","University of Vienna
維也納大學",137,2 sem. slots,"U-wide UG & PG students
全校大學部及研究所學生",iBT80/IELTS6/German B2,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Austria
奧地利","Graz University of Technology
格拉茨科技大學",413,6 sem. slots      ,"U-wide UG & PG students
全校大學部及研究所學生","iBT75/IELTS6/
TOEIC785+SW310/
German B2",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Belgium
比利時","Universite libre de Bruxelles (ULB)
布魯塞爾自由大學",230,5 students,"U-wide UG & PG students
全校大學部及研究所學生",建議法語B1以上Recommend French: B1,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"UG: 法語授課taught in French
PG: 部份英語授課partially taught in English",,,,,,,,,,,,,,,,,,
,,,4 sem. slots,"UG yr.3 above & Master students of the College of Economics and Management
管院大學部三年級以上及碩士班學生","建議英文B2以上
Recommend English: B2",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"大學部大部分為法文授課，研究所90%為英文授課
Most UG courses are taught in French; 90% of PG courses are taught in English.",,,,,,,,,,,,,,,,,,
"Belgium
比利時","KU Leuven
魯汶大學",63,6 sem. slots,"UG yr.2 above & PG students in College of Management
管院大二以上及研究所學生","UG: iBT72/IELTS5.5
PG: iBT95/IELTS7",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to Faculty of Economics and Business,,,,,,,,,,,,,,,,,,
,,,5 students,"UG yr. 4 and PG students of the College of ECE, College of CS, College of Engineering, ICST and IAIS
電機、資訊、工、國半及產創院大四與研究所學生",iBT94 (with no subscore under 22)/ IELTS7 (with no subscore under 6.5),,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,"English-taught courses are only offered in PG level. Students are required to take a min. of 24 ECTS/semester
Exchange to the Faculty of Engineering Science",,,,,,,,,,,,,,,,,,
,,,"8 sem. slots
(UG: 4 / PG: 4)","UG yr.4 above & Master students in College of Science
理學院大四以上及碩士班學生",Recommend iBT79/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,英語授課課程列表 Course List,,,,,,,,,,,,,,,,,,
,,,,,,,"Only master programmes are offered in English, UG programmes are offered in Dutch",,,,,,,,,,,,,,,,,,
"Belgium
比利時","University of Antwerp
安特衛普大學",267,2 sem. slots,"UG yr.3, 4 and Master students of the College of Management
管理學院大學部三年級以上及碩士班學生",iBT79/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to the Faculty of Business and Economics,,,,,,,,,,,,,,,,,,
"Czech Republic
捷克","Brno University of Technology
布爾諾科技大學",611-620,10 students,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above & PG students",,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,英語授課列表 English-taught Courses,,,,,,,,,,,,,,,,,,
"Czech Republic
捷克","Masaryk University
馬薩里克大學",408,3/semester,"全校大學部及研究所學生
U-wide UG & PG students","iBT72/IELTS5.5/
TOEIC785",GPA2.7/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Basic Info.,,,,,,,,,,,,,,,,,,
,,,,,,,Info. Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Course Catalog,,,,,,,,,,,,,,,,,,
"Czech Republic
捷克","University of Ostrava
俄斯特拉發大學",1001-1200,2 sem. slots,"全校大學部二年級以上及碩班學生
U-wide UG yr.2 above & Master students","iBT65/IELTS5.5/
TOEIC605",GPA2.2/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Czech Republic
捷克","Czech Technical University in Prague (CTU)
布拉格捷克理工大學",420,6 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students","iBT72/IELTS5.5
TOEIC Reading 385 Listening 400",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Czech Republic
捷克","Palacký University Olomouc
帕拉茨基大學",651-660,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",iBT70/IELTS5.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Factsheet,,,,,,,,,,,,,,,,,,
,,,,,,,Courses for Exchange Students,,,,,,,,,,,,,,,,,,
"Czech Republic
捷克","Charles University
布拉格查理大學",246,4 sem. slots,"全校大學部及研究所學生
U-wide UG & PG students",IELTS 5.5/ iBT 72,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Denmark
丹麥","Technical University of Denmark
丹麥科技大學",109,10 sem. slots,"全校大學部三年級以上及碩班學生
U-wide UG yr.3 above & Master students",iBT72/IELTS5.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
"Denmark
丹麥","University of Southern Denmark
南丹麥大學",324,5 students,"全校大學部及研究所學生 
U-wide UG & PG students","TOEFL88 / IELTS6.5/
a signed Language Requirement Form from the student’s home university",,fact sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Language requirement form,,,,,,,,,,,,,,,,,,
,,,,,,,參考網頁Link,,,,,,,,,,,,,,,,,,
"United Kingdom
英國","University of Southampton
南安普敦大學",80,2 sem. slots,"電機、光電、資訊學院大學部及碩士班學生
UG & Master students of the College of ECE, CS, and Photonics  ",iBT 92/IELTS6.5,GPA3.3/4.3,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Exchange to School of Electronics and Computer Science (MEng Electronic Engineering),,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"Finland
芬蘭","Hanken School of Economics
漢肯經濟學院",N/A,1/sem.,"管院大學部三年級以上及研究所學生
UG yr.3 above & PG students of the College of Management",iBT87/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,交換前須至少修讀一年經濟學課程 At least an year of Economics related courses is required prior to exchange,,,,,,,,,,,,,,,,,,
"Finland
芬蘭","University of Jyväskylä
于韋斯屈萊大學",489,4/sem.,"全校大學部二年級以上及碩士班學生
U-wide UG yr.2 above & Master students","建議至少B1，最好B2
Recommend: at least B1, preferably B2",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,英語授課課程列表 List of English-taught courses,,,,,,,,,,,,,,,,,,
,,,,,,,"該校較少工程領域課程
Limited number in engineering courses",,,,,,,,,,,,,,,,,,
"Finland
芬蘭","JAMK University of Applied Sciences
于韋斯屈萊應用科學大學",N/A,4 sem. slots,"護理學院大學部學生
UG students of the College of Nursing",English B1,,"參考網頁 Link
交換至該校健康與社會研究學院
Exchange to the School of Health and Social Studies",,,,,,,,,,,,,,,,,,
"France
法國","Y Schools
Y Schools精英高等院校聯盟",N/A,5 sem. slots,"管院大學部及碩士班學生
UG & Master students of the College of Management","iBT80/IELTS6.5
",,Fact Sheet,,,,,,,,,,,,,,,,,,
"France
法國","IMT Mines Albi-Carmaux
阿爾比-加莫國立高等礦業學校",N/A,6 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above & PG students","iBT80/IELTS6/
TOEIC750/
French B2",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,碩士課程 Master Programs,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
,,,,,,,2025 English tracks for graduate students,,,,,,,,,,,,,,,,,,

"France
法國","University of Rennes 1
雷恩第一大學",721-730,5/sem.,"電機、資訊院大學部四年級及碩士班學生
UG yr.4 & Master students of the College of Electrical & Computer Engineering and the College of Computer Science",iBT72/IELTS5.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,交換至該校ENSSAT學院,,,,,,,,,,,,,,,,,,
,,,,,,,Intro,,,,,,,,,,,,,,,,,,
"France
法國","EM Normandie
諾曼第管理學院",N/A,10 sem. slots,"管院大學部三年級以上學生
UG yr.3 above students of the College of Management","UG: TOEIC750
IELTS5/iBT72",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Brochcure,,,,,,,,,,,,,,,,,,
,,,,"管院碩士班學生
Master students of the College of Management","PG: TOEIC790
IELTS5.5/iBT83",,Information Sheet,,,,,,,,,,,,,,,,,,
"France
法國","IPAG Business School
IPAG高等商學院",N/A,4 students,"管院大學部學生
UG students of the College of Management",建議CEFR英文B2以上,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,僅限大學部學生申請 UG students only,,,,,,,,,,,,,,,,,,
,,,,,,,Key Data Sheet,,,,,,,,,,,,,,,,,,
"France
法國","SKEMA Business School
SKEMA商學院",N/A,8 sem. slots,"管院大學部及碩班學生
UG & Master students of the College of Management","iBT79/IELTS6.5/
TOEIC830",,參考網頁 link,,,,,,,,,,,,,,,,,,

"France
法國","CY Cergy Paris University-CY Tech
(原EISTI)
CY塞爾吉-巴黎大學",851-900,6 students,"管理、理、資訊院大學部四年級以上及研究所學生
UG yr.4 above and PG students of the College of Management, Science & Computer Science",iBT80/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Fact Sheet,,,,,,,,,,,,,,,,,,
"France
法國","Institut Mines-Télécom Business School (IMT-BS)
礦業學院-電信商學院",N/A,6 sem. slots,"管院大學部四年級及碩士班學生
UG yr.4 & Master students of the College of Management",iBT79/IELTS6.5,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Courses in English,,,,,,,,,,,,,,,,,,
,,,,,,,"大學部學生僅可申請秋季班
UG students can only apply for fall semester",,,,,,,,,,,,,,,,,,
"France
法國","ECAM LaSalle
工程師學校",N/A,4 sem. slots,"電機、工學院大學部及碩士班學生
UG and Master students of the College of ECE & Engineering","Recommend 
French course: French B1
English course: IELTS5.5/iBT72/TOEIC750",,"參考網頁 Link
Factsheet",,,,,,,,,,,,,,,,,,
"France
法國","Université Jean Moulin Lyon 3
里昂第三大學",1201-1400,10 sem. slots,"全校大學部三年級以上及研究所學生
U-wide UG yr.3 above & PG students",iBT80 (no section below 20)/IELTS6.5 (no sub-band below 6)/DELF B1/ TOEIC(L/S/R/W)1020,,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"無理工領域之英語授課課程
No science & engineering related courses",,,,,,,,,,,,,,,,,,
"France
法國","Université Paris-Saclay
巴黎-薩克雷大學",73,10 sem. slots,"全校大學以上及碩士學生
U-wide UG & Master students","建議 recommend 
English/French: B2 (depending on the study language)
Economics and Law: French B2 mandatory",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,"Students can exchange to the following faculty
Faculty of Science: Chemistry, Computer Science, Mathematics, Physics 
Jean Monnet Faculty: Law, Economics & Management
Polytech Paris-Saclay: Engineering and Technology, Physics",,,,,,,,,,,,,,,,,,
"France
法國","Telecom Paris
巴黎高等電信學校",49,4 sem. slots,"電機、資訊學院大三以上及研究所學生
UG Yr.3 above & PG students of the College of ECE and CS","English course: iBT71/TOEIC795/IELTS5.5
French course: French B2 (strongly advised)",,參考網頁 Link,,,,,,,,,,,,,,,,,,
,,,,,,,Information sheet,,,,,,,,,,,,,,,,,,
,,,,,,,Courses,,,,,,,,,,,,,,,,,,
